MatchId,Mode,MapName,Round,Seats,SeatIndex,BotKey,BotName,Creator,Opponents,TurnsPlayed,TimedOut,Failed,Placement,Win,TimeoutWin,Draw,Loss,Survived,EndHealth,ShotsFired,HitsLanded,DamageDealt,DamageTaken,Eliminations,Deaths,TurnsAlive
c2108b57-742f-4022-bb35-06f652897958,Duel,Het kanaal,10,2,1,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,BlitzKriegBot,19,False,False,2,False,False,True,False,False,0,18,0,0,100,0,1,18
1860145b-f15d-41c8-a052-30a6b35404c1,Duel,Het kanaal,9,2,0,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,BlitzKriegBot,23,False,False,1,True,False,False,False,True,25,20,2,100,75,1,0,23
1860145b-f15d-41c8-a052-30a6b35404c1,Duel,Het kanaal,9,2,1,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,KingArthur,23,False,False,2,False,False,False,True,False,0,22,1,75,100,0,1,22
2f9539a1-a29b-4c23-90c0-c6f129761e1a,Duel,Het kanaal,9,2,0,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,KingArthur,17,False,False,2,False,False,False,True,False,0,16,0,0,100,0,1,16
2f9539a1-a29b-4c23-90c0-c6f129761e1a,Duel,Het kanaal,9,2,1,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,BlitzKriegBot,17,False,False,1,True,False,False,False,True,25,16,0,0,75,0,0,17
fd78f8f5-2db8-4457-8b83-4a9236848b29,Duel,Het kanaal,8,2,0,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,BlitzKriegBot,23,False,False,1,True,False,False,False,True,25,20,2,100,75,1,0,23
fd78f8f5-2db8-4457-8b83-4a9236848b29,Duel,Het kanaal,8,2,1,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,KingArthur,23,False,False,2,False,False,False,True,False,0,22,1,75,100,0,1,22
a6063e23-7753-447a-89de-d0a0f0114d91,Duel,Het kanaal,8,2,0,BlitzKrieg.Bot.BlitzKriegBot,BlitzKriegBot,Batuhan,KingArthur,22,False,False,2,False,False,False,True,False,0,21,0,0,100,0,1,21
a6063e23-7753-447a-89de-d0a0f0114d91,Duel,Het kanaal,8,2,1,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,BlitzKriegBot,22,False,False,1,True,False,False,False,True,25,21,0,0,75,0,0,22
78e6e9df-90a2-4eb7-a4f2-2486a09b68f9,Duel,Het kanaal,7,2,0,KingArthur.Bot.KingArthurBot,KingArthur,Batuhan,BlitzKriegBot,18,False,False,1,True,False,False,False,True,25,15,2,100,75,1,0,18
