BotName,Opponent,MapName,Matches,Wins,TimeoutWins,Draws,Losses,WinRate,EffectiveWinRate,DamageDealt,DamageTaken,DamageDelta
BlitzKriegBot,OlivierBot,Oasis Cross,24,0,0,24,0,0.0000,0.1500,0,0,0
BlitzKriegBot,OlivierBot,River Bend,24,0,0,24,0,0.0000,0.1500,1200,1200,0
BlitzKriegBot,OlivierBot,The void,24,0,0,24,0,0.0000,0.1500,1200,2100,-900
BlitzKriegBot,OlivierBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
BlitzKriegBot,SchwarzeneggerBot,Four Corners,24,0,0,0,24,0.0000,0.0000,1800,2400,-600
BlitzKriegBot,SchwarzeneggerBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
BlitzKriegBot,SchwarzeneggerBot,Oasis Cross,24,0,0,5,19,0.0000,0.0313,1425,1900,-475
BlitzKriegBot,SchwarzeneggerBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
BlitzKriegBot,SchwarzeneggerBot,The void,24,0,0,0,24,0.0000,0.0000,900,2400,-1500
BlitzKriegBot,SchwarzeneggerBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,A Super Robot,Four Corners,24,0,0,13,11,0.0000,0.0813,0,550,-550
BunnyBot,A Super Robot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,A Super Robot,Oasis Cross,24,0,0,0,24,0.0000,0.0000,900,2100,-1200
BunnyBot,A Super Robot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,A Super Robot,The void,24,0,0,23,1,0.0000,0.1438,0,100,-100
BunnyBot,A Super Robot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,BlitzKriegBot,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,BlitzKriegBot,Het kanaal,24,0,0,14,10,0.0000,0.0875,0,750,-750
BunnyBot,BlitzKriegBot,Oasis Cross,24,0,0,12,12,0.0000,0.0750,300,1000,-700
BunnyBot,BlitzKriegBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,BlitzKriegBot,The void,24,24,0,0,0,1.0000,1.0000,1200,1800,-600
BunnyBot,BlitzKriegBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,KingArthur,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,KingArthur,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,KingArthur,Oasis Cross,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,KingArthur,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,KingArthur,The void,24,0,0,20,4,0.0000,0.1250,0,400,-400
BunnyBot,KingArthur,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,Lightning McQueen,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,Lightning McQueen,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,Lightning McQueen,Oasis Cross,24,0,0,12,12,0.0000,0.0750,0,900,-900
BunnyBot,Lightning McQueen,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,Lightning McQueen,The void,24,0,0,19,5,0.0000,0.1188,0,500,-500
BunnyBot,Lightning McQueen,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,OlivierBot,Four Corners,24,0,0,0,24,0.0000,0.0000,0,2400,-2400
BunnyBot,OlivierBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,OlivierBot,Oasis Cross,24,0,0,7,17,0.0000,0.0438,0,1275,-1275
BunnyBot,OlivierBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,OlivierBot,The void,24,0,0,24,0,0.0000,0.1500,1200,2400,-1200
BunnyBot,OlivierBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,SchwarzeneggerBot,Four Corners,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,SchwarzeneggerBot,Het kanaal,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,SchwarzeneggerBot,Oasis Cross,24,0,0,12,12,0.0000,0.0750,0,900,-900
BunnyBot,SchwarzeneggerBot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
BunnyBot,SchwarzeneggerBot,The void,24,0,0,23,1,0.0000,0.1438,75,100,-25
BunnyBot,SchwarzeneggerBot,Twin Ridges,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,A Super Robot,Four Corners,24,24,0,0,0,1.0000,1.0000,2400,1350,1050
KingArthur,A Super Robot,Het kanaal,24,2,0,22,0,0.0833,0.2208,0,0,0
KingArthur,A Super Robot,Oasis Cross,24,24,0,0,0,1.0000,1.0000,2400,0,2400
KingArthur,A Super Robot,River Bend,24,0,0,24,0,0.0000,0.1500,0,0,0
KingArthur,A Super Robot,The void,24,5,0,19,0,0.2083,0.3271,200,375,-175
KingArthur,A Super Robot,Twin Ridges,24,12,0,0,12,0.5000,0.5000,1800,2100,-300
KingArthur,BlitzKriegBot,Four Corners,24,0,0,15,9,0.0000,0.0938,0,900,-900
KingArthur,BlitzKriegBot,Het kanaal,24,15,0,9,0,0.6250,0.6813,1200,2025,-825
